"time","_geo","geo","type_vio","_type_vio","sex_vic","_sex_vic","unit","_unit","value","_flag"
2020,"DK","Denmark","Any violence","ANY","Total","T","Number","NR",51852,
2021,"DK","Denmark","Any violence","ANY","Total","T","Number","NR",50927,
2022,"DK","Denmark","Any violence","ANY","Total","T","Number","NR",58488,
2014,"EE","Estonia","Intimate partner violence","IPV","Female","F","Number","NR",,
2015,"EE","Estonia","Intimate partner violence","IPV","Female","F","Number","NR",,
2016,"EE","Estonia","Intimate partner violence","IPV","Female","F","Number","NR",,
2017,"EE","Estonia","Intimate partner violence","IPV","Female","F","Number","NR",,
2018,"EE","Estonia","Intimate partner violence","IPV","Female","F","Number","NR",,
2019,"EE","Estonia","Intimate partner violence","IPV","Female","F","Number","NR",,
2020,"EE","Estonia","Intimate partner violence","IPV","Female","F","Number","NR",,
2021,"EE","Estonia","Intimate partner violence","IPV","Female","F","Number","NR",,
2022,"EE","Estonia","Intimate partner violence","IPV","Female","F","Number","NR",,
2014,"EE","Estonia","Intimate partner violence","IPV","Total","T","Number","NR",,
2015,"EE","Estonia","Intimate partner violence","IPV","Total","T","Number","NR",,
2016,"EE","Estonia","Intimate partner violence","IPV","Total","T","Number","NR",,
2017,"EE","Estonia","Intimate partner violence","IPV","Total","T","Number","NR",,
2018,"EE","Estonia","Intimate partner violence","IPV","Total","T","Number","NR",,
2019,"EE","Estonia","Intimate partner violence","IPV","Total","T","Number","NR",,
2020,"EE","Estonia","Intimate partner violence","IPV","Total","T","Number","NR",,
2021,"EE","Estonia","Intimate partner violence","IPV","Total","T","Number","NR",,
2022,"EE","Estonia","Intimate partner violence","IPV","Total","T","Number","NR",,
2014,"EE","Estonia","Domestic violence","DV","Female","F","Number","NR",,
2015,"EE","Estonia","Domestic violence","DV","Female","F","Number","NR",,
2016,"EE","Estonia","Domestic violence","DV","Female","F","Number","NR",,
2017,"EE","Estonia","Domestic violence","DV","Female","F","Number","NR",6868,
2018,"EE","Estonia","Domestic violence","DV","Female","F","Number","NR",7277,
2019,"EE","Estonia","Domestic violence","DV","Female","F","Number","NR",8314,
2020,"EE","Estonia","Domestic violence","DV","Female","F","Number","NR",8286,
2021,"EE","Estonia","Domestic violence","DV","Female","F","Number","NR",7888,
2022,"EE","Estonia","Domestic violence","DV","Female","F","Number","NR",7417,
2014,"EE","Estonia","Domestic violence","DV","Total","T","Number","NR",,
2015,"EE","Estonia","Domestic violence","DV","Total","T","Number","NR",,
2016,"EE","Estonia","Domestic violence","DV","Total","T","Number","NR",,
2017,"EE","Estonia","Domestic violence","DV","Total","T","Number","NR",8825,
2018,"EE","Estonia","Domestic violence","DV","Total","T","Number","NR",9245,
2019,"EE","Estonia","Domestic violence","DV","Total","T","Number","NR",10557,
2020,"EE","Estonia","Domestic violence","DV","Total","T","Number","NR",10639,
2021,"EE","Estonia","Domestic violence","DV","Total","T","Number","NR",10180,
2022,"EE","Estonia","Domestic violence","DV","Total","T","Number","NR",9616,
2014,"EE","Estonia","Any violence","ANY","Female","F","Number","NR",,
2015,"EE","Estonia","Any violence","ANY","Female","F","Number","NR",,
2016,"EE","Estonia","Any violence","ANY","Female","F","Number","NR",,
2017,"EE","Estonia","Any violence","ANY","Female","F","Number","NR",,
2018,"EE","Estonia","Any violence","ANY","Female","F","Number","NR",,
2019,"EE","Estonia","Any violence","ANY","Female","F","Number","NR",,
2020,"EE","Estonia","Any violence","ANY","Female","F","Number","NR",,
2021,"EE","Estonia","Any violence","ANY","Female","F","Number","NR",,
2022,"EE","Estonia","Any violence","ANY","Female","F","Number","NR",,
2014,"EE","Estonia","Any violence","ANY","Total","T","Number","NR",,
2015,"EE","Estonia","Any violence","ANY","Total","T","Number","NR",,
2016,"EE","Estonia","Any violence","ANY","Total","T","Number","NR",,
2017,"EE","Estonia","Any violence","ANY","Total","T","Number","NR",,
2018,"EE","Estonia","Any violence","ANY","Total","T","Number","NR",,
2019,"EE","Estonia","Any violence","ANY","Total","T","Number","NR",,
2020,"EE","Estonia","Any violence","ANY","Total","T","Number","NR",,
2021,"EE","Estonia","Any violence","ANY","Total","T","Number","NR",,
2022,"EE","Estonia","Any violence","ANY","Total","T","Number","NR",,
2014,"EL","Greece","Intimate partner violence","IPV","Female","F","Number","NR",,
2015,"EL","Greece","Intimate partner violence","IPV","Female","F","Number","NR",,
2016,"EL","Greece","Intimate partner violence","IPV","Female","F","Number","NR",,
2017,"EL","Greece","Intimate partner violence","IPV","Female","F","Number","NR",,
2018,"EL","Greece","Intimate partner violence","IPV","Female","F","Number","NR",,
2019,"EL","Greece","Intimate partner violence","IPV","Female","F","Number","NR",,
2020,"EL","Greece","Intimate partner violence","IPV","Female","F","Number","NR",,
2021,"EL","Greece","Intimate partner violence","IPV","Female","F","Number","NR",,
2022,"EL","Greece","Intimate partner violence","IPV","Female","F","Number","NR",,
2014,"EL","Greece","Intimate partner violence","IPV","Total","T","Number","NR",,
2015,"EL","Greece","Intimate partner violence","IPV","Total","T","Number","NR",,
2016,"EL","Greece","Intimate partner violence","IPV","Total","T","Number","NR",,
2017,"EL","Greece","Intimate partner violence","IPV","Total","T","Number","NR",,
2018,"EL","Greece","Intimate partner violence","IPV","Total","T","Number","NR",,
2019,"EL","Greece","Intimate partner violence","IPV","Total","T","Number","NR",,
2020,"EL","Greece","Intimate partner violence","IPV","Total","T","Number","NR",,
2021,"EL","Greece","Intimate partner violence","IPV","Total","T","Number","NR",,
2022,"EL","Greece","Intimate partner violence","IPV","Total","T","Number","NR",,
2014,"EL","Greece","Domestic violence","DV","Female","F","Number","NR",2302,"d"
2015,"EL","Greece","Domestic violence","DV","Female","F","Number","NR",2321,"d"
2016,"EL","Greece","Domestic violence","DV","Female","F","Number","NR",2696,"d"
2017,"EL","Greece","Domestic violence","DV","Female","F","Number","NR",3196,"d"
2018,"EL","Greece","Domestic violence","DV","Female","F","Number","NR",3815,"d"
2019,"EL","Greece","Domestic violence","DV","Female","F","Number","NR",4171,"d"
2020,"EL","Greece","Domestic violence","DV","Female","F","Number","NR",4310,"d"
2021,"EL","Greece","Domestic violence","DV","Female","F","Number","NR",7505,"d"
2022,"EL","Greece","Domestic violence","DV","Female","F","Number","NR",10356,"d"
2014,"EL","Greece","Domestic violence","DV","Total","T","Number","NR",3009,"d"
2015,"EL","Greece","Domestic violence","DV","Total","T","Number","NR",3043,"d"
2016,"EL","Greece","Domestic violence","DV","Total","T","Number","NR",3557,"d"
2017,"EL","Greece","Domestic violence","DV","Total","T","Number","NR",4221,"d"
2018,"EL","Greece","Domestic violence","DV","Total","T","Number","NR",5130,"d"
2019,"EL","Greece","Domestic violence","DV","Total","T","Number","NR",5527,"d"
2020,"EL","Greece","Domestic violence","DV","Total","T","Number","NR",5910,"d"
2021,"EL","Greece","Domestic violence","DV","Total","T","Number","NR",10130,"d"
2022,"EL","Greece","Domestic violence","DV","Total","T","Number","NR",13910,"d"
2014,"EL","Greece","Any violence","ANY","Female","F","Number","NR",,
2015,"EL","Greece","Any violence","ANY","Female","F","Number","NR",,
2016,"EL","Greece","Any violence","ANY","Female","F","Number","NR",,
2017,"EL","Greece","Any violence","ANY","Female","F","Number","NR",,
2018,"EL","Greece","Any violence","ANY","Female","F","Number","NR",,
2019,"EL","Greece","Any violence","ANY","Female","F","Number","NR",,
2020,"EL","Greece","Any violence","ANY","Female","F","Number","NR",,
2021,"EL","Greece","Any violence","ANY","Female","F","Number","NR",,
2022,"EL","Greece","Any violence","ANY","Female","F","Number","NR",,
2014,"EL","Greece","Any violence","ANY","Total","T","Number","NR",,
2015,"EL","Greece","Any violence","ANY","Total","T","Number","NR",,
2016,"EL","Greece","Any violence","ANY","Total","T","Number","NR",,
2017,"EL","Greece","Any violence","ANY","Total","T","Number","NR",,
2018,"EL","Greece","Any violence","ANY","Total","T","Number","NR",,
2019,"EL","Greece","Any violence","ANY","Total","T","Number","NR",,
2020,"EL","Greece","Any violence","ANY","Total","T","Number","NR",,
2021,"EL","Greece","Any violence","ANY","Total","T","Number","NR",,
2022,"EL","Greece","Any violence","ANY","Total","T","Number","NR",,
2014,"ES","Spain","Intimate partner violence","IPV","Female","F","Number","NR",81050,
2015,"ES","Spain","Intimate partner violence","IPV","Female","F","Number","NR",80597,
2016,"ES","Spain","Intimate partner violence","IPV","Female","F","Number","NR",81342,
2017,"ES","Spain","Intimate partner violence","IPV","Female","F","Number","NR",85688,
2018,"ES","Spain","Intimate partner violence","IPV","Female","F","Number","NR",87995,
2019,"ES","Spain","Intimate partner violence","IPV","Female","F","Number","NR",95404,
2020,"ES","Spain","Intimate partner violence","IPV","Female","F","Number","NR",90182,
2021,"ES","Spain","Intimate partner violence","IPV","Female","F","Number","NR",100990,
2022,"ES","Spain","Intimate partner violence","IPV","Female","F","Number","NR",115980,
2014,"ES","Spain","Intimate partner violence","IPV","Total","T","Number","NR",88888,
2015,"ES","Spain","Intimate partner violence","IPV","Total","T","Number","NR",87872,
2016,"ES","Spain","Intimate partner violence","IPV","Total","T","Number","NR",88622,
2017,"ES","Spain","Intimate partner violence","IPV","Total","T","Number","NR",93605,
2018,"ES","Spain","Intimate partner violence","IPV","Total","T","Number","NR",96130,
2019,"ES","Spain","Intimate partner violence","IPV","Total","T","Number","NR",104680,
2020,"ES","Spain","Intimate partner violence","IPV","Total","T","Number","NR",99422,
2021,"ES","Spain","Intimate partner violence","IPV","Total","T","Number","NR",111503,
2022,"ES","Spain","Intimate partner violence","IPV","Total","T","Number","NR",128092,
2014,"ES","Spain","Domestic violence","DV","Female","F","Number","NR",100260,
2015,"ES","Spain","Domestic violence","DV","Female","F","Number","NR",99826,
2016,"ES","Spain","Domestic violence","DV","Female","F","Number","NR",100143,
2017,"ES","Spain","Domestic violence","DV","Female","F","Number","NR",105394,
2018,"ES","Spain","Domestic violence","DV","Female","F","Number","NR",108496,
2019,"ES","Spain","Domestic violence","DV","Female","F","Number","NR",117137,
2020,"ES","Spain","Domestic violence","DV","Female","F","Number","NR",111612,
2021,"ES","Spain","Domestic violence","DV","Female","F","Number","NR",123549,
2022,"ES","Spain","Domestic violence","DV","Female","F","Number","NR",139465,
2014,"ES","Spain","Domestic violence","DV","Total","T","Number","NR",121206,
2015,"ES","Spain","Domestic violence","DV","Total","T","Number","NR",120095,
2016,"ES","Spain","Domestic violence","DV","Total","T","Number","NR",120080,
2017,"ES","Spain","Domestic violence","DV","Total","T","Number","NR",126518,
2018,"ES","Spain","Domestic violence","DV","Total","T","Number","NR",130237,
2019,"ES","Spain","Domestic violence","DV","Total","T","Number","NR",141205,
2020,"ES","Spain","Domestic violence","DV","Total","T","Number","NR",136006,
2021,"ES","Spain","Domestic violence","DV","Total","T","Number","NR",149976,
2022,"ES","Spain","Domestic violence","DV","Total","T","Number","NR",168304,
2014,"ES","Spain","Any violence","ANY","Female","F","Number","NR",247213,
2015,"ES","Spain","Any violence","ANY","Female","F","Number","NR",241080,
2016,"ES","Spain","Any violence","ANY","Female","F","Number","NR",239705,
2017,"ES","Spain","Any violence","ANY","Female","F","Number","NR",249295,
2018,"ES","Spain","Any violence","ANY","Female","F","Number","NR",252152,
2019,"ES","Spain","Any violence","ANY","Female","F","Number","NR",262253,
2020,"ES","Spain","Any violence","ANY","Female","F","Number","NR",233761,
2021,"ES","Spain","Any violence","ANY","Female","F","Number","NR",268495,
2022,"ES","Spain","Any violence","ANY","Female","F","Number","NR",295661,
2014,"ES","Spain","Any violence","ANY","Total","T","Number","NR",489492,
2015,"ES","Spain","Any violence","ANY","Total","T","Number","NR",475720,
2016,"ES","Spain","Any violence","ANY","Total","T","Number","NR",474107,
2017,"ES","Spain","Any violence","ANY","Total","T","Number","NR",486600,
2018,"ES","Spain","Any violence","ANY","Total","T","Number","NR",486467,
2019,"ES","Spain","Any violence","ANY","Total","T","Number","NR",500527,
2020,"ES","Spain","Any violence","ANY","Total","T","Number","NR",446568,
2021,"ES","Spain","Any violence","ANY","Total","T","Number","NR",518089,
2022,"ES","Spain","Any violence","ANY","Total","T","Number","NR",566509,
2014,"FI","Finland","Intimate partner violence","IPV","Female","F","Number","NR",5686,"d"
2015,"FI","Finland","Intimate partner violence","IPV","Female","F","Number","NR",5514,"d"
2016,"FI","Finland","Intimate partner violence","IPV","Female","F","Number","NR",5694,"d"
2017,"FI","Finland","Intimate partner violence","IPV","Female","F","Number","NR",5496,"d"
2018,"FI","Finland","Intimate partner violence","IPV","Female","F","Number","NR",5648,"d"
2019,"FI","Finland","Intimate partner violence","IPV","Female","F","Number","NR",5796,"d"
2020,"FI","Finland","Intimate partner violence","IPV","Female","F","Number","NR",6045,"d"
2021,"FI","Finland","Intimate partner violence","IPV","Female","F","Number","NR",5709,"d"
2022,"FI","Finland","Intimate partner violence","IPV","Female","F","Number","NR",6072,"d"
2014,"FI","Finland","Intimate partner violence","IPV","Total","T","Number","NR",6783,"d"
2015,"FI","Finland","Intimate partner violence","IPV","Total","T","Number","NR",6645,"d"
2016,"FI","Finland","Intimate partner violence","IPV","Total","T","Number","NR",6899,"d"
2017,"FI","Finland","Intimate partner violence","IPV","Total","T","Number","NR",6560,"d"
2018,"FI","Finland","Intimate partner violence","IPV","Total","T","Number","NR",6813,"d"
2019,"FI","Finland","Intimate partner violence","IPV","Total","T","Number","NR",6992,"d"
2020,"FI","Finland","Intimate partner violence","IPV","Total","T","Number","NR",7443,"d"
2021,"FI","Finland","Intimate partner violence","IPV","Total","T","Number","NR",7048,"d"
2022,"FI","Finland","Intimate partner violence","IPV","Total","T","Number","NR",7657,"d"
2014,"FI","Finland","Domestic violence","DV","Female","F","Number","NR",7442,"d"
2015,"FI","Finland","Domestic violence","DV","Female","F","Number","NR",7532,"d"
2016,"FI","Finland","Domestic violence","DV","Female","F","Number","NR",7844,"d"
2017,"FI","Finland","Domestic violence","DV","Female","F","Number","NR",7443,"d"
2018,"FI","Finland","Domestic violence","DV","Female","F","Number","NR",7869,"d"
2019,"FI","Finland","Domestic violence","DV","Female","F","Number","NR",8145,"d"
2020,"FI","Finland","Domestic violence","DV","Female","F","Number","NR",8316,"d"
2021,"FI","Finland","Domestic violence","DV","Female","F","Number","NR",8036,"d"
2022,"FI","Finland","Domestic violence","DV","Female","F","Number","NR",8522,"d"
2014,"FI","Finland","Domestic violence","DV","Total","T","Number","NR",10271,"d"
2015,"FI","Finland","Domestic violence","DV","Total","T","Number","NR",10893,"d"
2016,"FI","Finland","Domestic violence","DV","Total","T","Number","NR",11314,"d"
2017,"FI","Finland","Domestic violence","DV","Total","T","Number","NR",10693,"d"
2018,"FI","Finland","Domestic violence","DV","Total","T","Number","NR",11372,"d"
2019,"FI","Finland","Domestic violence","DV","Total","T","Number","NR",11741,"d"
2020,"FI","Finland","Domestic violence","DV","Total","T","Number","NR",11964,"d"
2021,"FI","Finland","Domestic violence","DV","Total","T","Number","NR",11454,"d"
2022,"FI","Finland","Domestic violence","DV","Total","T","Number","NR",12343,"d"
2014,"FI","Finland","Any violence","ANY","Female","F","Number","NR",22381,"d"
2015,"FI","Finland","Any violence","ANY","Female","F","Number","NR",22202,"d"
2016,"FI","Finland","Any violence","ANY","Female","F","Number","NR",23055,"d"
2017,"FI","Finland","Any violence","ANY","Female","F","Number","NR",23387,"d"
2018,"FI","Finland","Any violence","ANY","Female","F","Number","NR",24561,"d"
2019,"FI","Finland","Any violence","ANY","Female","F","Number","NR",25592,"d"
2020,"FI","Finland","Any violence","ANY","Female","F","Number","NR",36886,"d"
2021,"FI","Finland","Any violence","ANY","Female","F","Number","NR",27596,"d"
2022,"FI","Finland","Any violence","ANY","Female","F","Number","NR",28946,"d"
2014,"FI","Finland","Any violence","ANY","Total","T","Number","NR",48897,"d"
2015,"FI","Finland","Any violence","ANY","Total","T","Number","NR",48774,"d"
2016,"FI","Finland","Any violence","ANY","Total","T","Number","NR",50107,"d"
2017,"FI","Finland","Any violence","ANY","Total","T","Number","NR",50523,"d"
2018,"FI","Finland","Any violence","ANY","Total","T","Number","NR",52167,"d"
2019,"FI","Finland","Any violence","ANY","Total","T","Number","NR",53655,"d"
2020,"FI","Finland","Any violence","ANY","Total","T","Number","NR",69769,"d"
2021,"FI","Finland","Any violence","ANY","Total","T","Number","NR",55716,"d"
2022,"FI","Finland","Any violence","ANY","Total","T","Number","NR",60437,"d"
2014,"FR","France","Intimate partner violence","IPV","Female","F","Number","NR",,
2015,"FR","France","Intimate partner violence","IPV","Female","F","Number","NR",,
2016,"FR","France","Intimate partner violence","IPV","Female","F","Number","NR",106901,"d"
2017,"FR","France","Intimate partner violence","IPV","Female","F","Number","NR",107847,"d"
2018,"FR","France","Intimate partner violence","IPV","Female","F","Number","NR",116349,"d"
2019,"FR","France","Intimate partner violence","IPV","Female","F","Number","NR",132660,"d"
2020,"FR","France","Intimate partner violence","IPV","Female","F","Number","NR",142201,"d"
2021,"FR","France","Intimate partner violence","IPV","Female","F","Number","NR",163902,"d"
2022,"FR","France","Intimate partner violence","IPV","Female","F","Number","NR",,
2014,"FR","France","Intimate partner violence","IPV","Total","T","Number","NR",,
2015,"FR","France","Intimate partner violence","IPV","Total","T","Number","NR",,
2016,"FR","France","Intimate partner violence","IPV","Total","T","Number","NR",124535,"d"
2017,"FR","France","Intimate partner violence","IPV","Total","T","Number","NR",125553,"d"
2018,"FR","France","Intimate partner violence","IPV","Total","T","Number","NR",135209,"d"
2019,"FR","France","Intimate partner violence","IPV","Total","T","Number","NR",154316,"d"
2020,"FR","France","Intimate partner violence","IPV","Total","T","Number","NR",165760,"d"
2021,"FR","France","Intimate partner violence","IPV","Total","T","Number","NR",192409,"d"
2022,"FR","France","Intimate partner violence","IPV","Total","T","Number","NR",,
2014,"FR","France","Domestic violence","DV","Female","F","Number","NR",,
2015,"FR","France","Domestic violence","DV","Female","F","Number","NR",,
2016,"FR","France","Domestic violence","DV","Female","F","Number","NR",131591,"d"
2017,"FR","France","Domestic violence","DV","Female","F","Number","NR",134008,"d"
2018,"FR","France","Domestic violence","DV","Female","F","Number","NR",145675,"d"
2019,"FR","France","Domestic violence","DV","Female","F","Number","NR",165288,"d"
2020,"FR","France","Domestic violence","DV","Female","F","Number","NR",176888,"d"
2021,"FR","France","Domestic violence","DV","Female","F","Number","NR",204427,"d"
2022,"FR","France","Domestic violence","DV","Female","F","Number","NR",,
2014,"FR","France","Domestic violence","DV","Total","T","Number","NR",,
2015,"FR","France","Domestic violence","DV","Total","T","Number","NR",,
2016,"FR","France","Domestic violence","DV","Total","T","Number","NR",167363,"d"
2017,"FR","France","Domestic violence","DV","Total","T","Number","NR",171583,"d"
2018,"FR","France","Domestic violence","DV","Total","T","Number","NR",186478,"d"
2019,"FR","France","Domestic violence","DV","Total","T","Number","NR",211467,"d"
2020,"FR","France","Domestic violence","DV","Total","T","Number","NR",226279,"d"
2021,"FR","France","Domestic violence","DV","Total","T","Number","NR",261959,"d"
2022,"FR","France","Domestic violence","DV","Total","T","Number","NR",,
2014,"FR","France","Any violence","ANY","Female","F","Number","NR",,
2015,"FR","France","Any violence","ANY","Female","F","Number","NR",,
2016,"FR","France","Any violence","ANY","Female","F","Number","NR",858344,"d"
2017,"FR","France","Any violence","ANY","Female","F","Number","NR",865760,"d"
2018,"FR","France","Any violence","ANY","Female","F","Number","NR",874934,"d"
2019,"FR","France","Any violence","ANY","Female","F","Number","NR",914533,"d"
2020,"FR","France","Any violence","ANY","Female","F","Number","NR",798859,"d"
2021,"FR","France","Any violence","ANY","Female","F","Number","NR",879526,"d"
2022,"FR","France","Any violence","ANY","Female","F","Number","NR",,
2014,"FR","France","Any violence","ANY","Total","T","Number","NR",,
2015,"FR","France","Any violence","ANY","Total","T","Number","NR",,
2016,"FR","France","Any violence","ANY","Total","T","Number","NR",1905550,"d"
2017,"FR","France","Any violence","ANY","Total","T","Number","NR",1908374,"d"
2018,"FR","France","Any violence","ANY","Total","T","Number","NR",1918405,"d"
2019,"FR","France","Any violence","ANY","Total","T","Number","NR",1977697,"d"
2020,"FR","France","Any violence","ANY","Total","T","Number","NR",1706069,"d"
2021,"FR","France","Any violence","ANY","Total","T","Number","NR",1822409,"d"
2022,"FR","France","Any violence","ANY","Total","T","Number","NR",,
2014,"HR","Croatia","Intimate partner violence","IPV","Female","F","Number","NR",,
2015,"HR","Croatia","Intimate partner violence","IPV","Female","F","Number","NR",,
2016,"HR","Croatia","Intimate partner violence","IPV","Female","F","Number","NR",,
2017,"HR","Croatia","Intimate partner violence","IPV","Female","F","Number","NR",,
2018,"HR","Croatia","Intimate partner violence","IPV","Female","F","Number","NR",,
2019,"HR","Croatia","Intimate partner violence","IPV","Female","F","Number","NR",,
2020,"HR","Croatia","Intimate partner violence","IPV","Female","F","Number","NR",,
2021,"HR","Croatia","Intimate partner violence","IPV","Female","F","Number","NR",,
2022,"HR","Croatia","Intimate partner violence","IPV","Female","F","Number","NR",,
2014,"HR","Croatia","Intimate partner violence","IPV","Total","T","Number","NR",,
2015,"HR","Croatia","Intimate partner violence","IPV","Total","T","Number","NR",,
2016,"HR","Croatia","Intimate partner violence","IPV","Total","T","Number","NR",,
2017,"HR","Croatia","Intimate partner violence","IPV","Total","T","Number","NR",,
2018,"HR","Croatia","Intimate partner violence","IPV","Total","T","Number","NR",,
2019,"HR","Croatia","Intimate partner violence","IPV","Total","T","Number","NR",,
2020,"HR","Croatia","Intimate partner violence","IPV","Total","T","Number","NR",,
2021,"HR","Croatia","Intimate partner violence","IPV","Total","T","Number","NR",,
2022,"HR","Croatia","Intimate partner violence","IPV","Total","T","Number","NR",,
2014,"HR","Croatia","Domestic violence","DV","Female","F","Number","NR",827,"d"
2015,"HR","Croatia","Domestic violence","DV","Female","F","Number","NR",1752,"d"
2016,"HR","Croatia","Domestic violence","DV","Female","F","Number","NR",1948,"d"
2017,"HR","Croatia","Domestic violence","DV","Female","F","Number","NR",2488,"d"
2018,"HR","Croatia","Domestic violence","DV","Female","F","Number","NR",2537,"d"
2019,"HR","Croatia","Domestic violence","DV","Female","F","Number","NR",3640,"d"
2020,"HR","Croatia","Domestic violence","DV","Female","F","Number","NR",4506,"d"
2021,"HR","Croatia","Domestic violence","DV","Female","F","Number","NR",5244,"d"
2022,"HR","Croatia","Domestic violence","DV","Female","F","Number","NR",5706,"d"
2014,"HR","Croatia","Domestic violence","DV","Total","T","Number","NR",1255,"d"
2015,"HR","Croatia","Domestic violence","DV","Total","T","Number","NR",2359,"d"
2016,"HR","Croatia","Domestic violence","DV","Total","T","Number","NR",2552,"d"
2017,"HR","Croatia","Domestic violence","DV","Total","T","Number","NR",3275,"d"
2018,"HR","Croatia","Domestic violence","DV","Total","T","Number","NR",3347,"d"
2019,"HR","Croatia","Domestic violence","DV","Total","T","Number","NR",4641,"d"
2020,"HR","Croatia","Domestic violence","DV","Total","T","Number","NR",5960,"d"
2021,"HR","Croatia","Domestic violence","DV","Total","T","Number","NR",6656,"d"
2022,"HR","Croatia","Domestic violence","DV","Total","T","Number","NR",7257,"d"
2014,"HR","Croatia","Any violence","ANY","Female","F","Number","NR",7783,"d"
2015,"HR","Croatia","Any violence","ANY","Female","F","Number","NR",8514,"d"
2016,"HR","Croatia","Any violence","ANY","Female","F","Number","NR",8374,"d"
2017,"HR","Croatia","Any violence","ANY","Female","F","Number","NR",8926,"d"
2018,"HR","Croatia","Any violence","ANY","Female","F","Number","NR",8692,"d"
2019,"HR","Croatia","Any violence","ANY","Female","F","Number","NR",10239,"d"
2020,"HR","Croatia","Any violence","ANY","Female","F","Number","NR",10311,"d"
2021,"HR","Croatia","Any violence","ANY","Female","F","Number","NR",11059,"d"
2022,"HR","Croatia","Any violence","ANY","Female","F","Number","NR",11326,"d"
2014,"HR","Croatia","Any violence","ANY","Total","T","Number","NR",17033,"d"
2015,"HR","Croatia","Any violence","ANY","Total","T","Number","NR",18409,"d"
2016,"HR","Croatia","Any violence","ANY","Total","T","Number","NR",18182,"d"
2017,"HR","Croatia","Any violence","ANY","Total","T","Number","NR",18479,"d"
2018,"HR","Croatia","Any violence","ANY","Total","T","Number","NR",17366,"d"
2019,"HR","Croatia","Any violence","ANY","Total","T","Number","NR",19684,"d"
2020,"HR","Croatia","Any violence","ANY","Total","T","Number","NR",19727,"d"
2021,"HR","Croatia","Any violence","ANY","Total","T","Number","NR",20460,"d"
2022,"HR","Croatia","Any violence","ANY","Total","T","Number","NR",21096,"d"
2014,"HU","Hungary","Intimate partner violence","IPV","Female","F","Number","NR",,
2015,"HU","Hungary","Intimate partner violence","IPV","Female","F","Number","NR",,
2016,"HU","Hungary","Intimate partner violence","IPV","Female","F","Number","NR",,
2017,"HU","Hungary","Intimate partner violence","IPV","Female","F","Number","NR",,
2018,"HU","Hungary","Intimate partner violence","IPV","Female","F","Number","NR",,
2019,"HU","Hungary","Intimate partner violence","IPV","Female","F","Number","NR",2385,
2020,"HU","Hungary","Intimate partner violence","IPV","Female","F","Number","NR",2665,
2021,"HU","Hungary","Intimate partner violence","IPV","Female","F","Number","NR",2902,
2022,"HU","Hungary","Intimate partner violence","IPV","Female","F","Number","NR",2953,
2014,"HU","Hungary","Intimate partner violence","IPV","Total","T","Number","NR",,
2015,"HU","Hungary","Intimate partner violence","IPV","Total","T","Number","NR",,
2016,"HU","Hungary","Intimate partner violence","IPV","Total","T","Number","NR",,
2017,"HU","Hungary","Intimate partner violence","IPV","Total","T","Number","NR",,
2018,"HU","Hungary","Intimate partner violence","IPV","Total","T","Number","NR",,
2019,"HU","Hungary","Intimate partner violence","IPV","Total","T","Number","NR",2958,
2020,"HU","Hungary","Intimate partner violence","IPV","Total","T","Number","NR",3112,
2021,"HU","Hungary","Intimate partner violence","IPV","Total","T","Number","NR",3367,
2022,"HU","Hungary","Intimate partner violence","IPV","Total","T","Number","NR",3422,
2014,"HU","Hungary","Domestic violence","DV","Female","F","Number","NR",,
2015,"HU","Hungary","Domestic violence","DV","Female","F","Number","NR",,
2016,"HU","Hungary","Domestic violence","DV","Female","F","Number","NR",,
2017,"HU","Hungary","Domestic violence","DV","Female","F","Number","NR",,
2018,"HU","Hungary","Domestic violence","DV","Female","F","Number","NR",,
2019,"HU","Hungary","Domestic violence","DV","Female","F","Number","NR",3383,
2020,"HU","Hungary","Domestic violence","DV","Female","F","Number","NR",3961,
2021,"HU","Hungary","Domestic violence","DV","Female","F","Number","NR",4156,
2022,"HU","Hungary","Domestic violence","DV","Female","F","Number","NR",4350,
2014,"HU","Hungary","Domestic violence","DV","Total","T","Number","NR",,
2015,"HU","Hungary","Domestic violence","DV","Total","T","Number","NR",,
2016,"HU","Hungary","Domestic violence","DV","Total","T","Number","NR",,
2017,"HU","Hungary","Domestic violence","DV","Total","T","Number","NR",,
2018,"HU","Hungary","Domestic violence","DV","Total","T","Number","NR",,
2019,"HU","Hungary","Domestic violence","DV","Total","T","Number","NR",5186,
2020,"HU","Hungary","Domestic violence","DV","Total","T","Number","NR",5885,
2021,"HU","Hungary","Domestic violence","DV","Total","T","Number","NR",6375,
2022,"HU","Hungary","Domestic violence","DV","Total","T","Number","NR",6503,
2014,"HU","Hungary","Any violence","ANY","Female","F","Number","NR",,
2015,"HU","Hungary","Any violence","ANY","Female","F","Number","NR",,
2016,"HU","Hungary","Any violence","ANY","Female","F","Number","NR",,
2017,"HU","Hungary","Any violence","ANY","Female","F","Number","NR",,
2018,"HU","Hungary","Any violence","ANY","Female","F","Number","NR",,
2019,"HU","Hungary","Any violence","ANY","Female","F","Number","NR",21777,
2020,"HU","Hungary","Any violence","ANY","Female","F","Number","NR",21569,
2021,"HU","Hungary","Any violence","ANY","Female","F","Number","NR",22299,
2022,"HU","Hungary","Any violence","ANY","Female","F","Number","NR",22982,
2014,"HU","Hungary","Any violence","ANY","Total","T","Number","NR",,
2015,"HU","Hungary","Any violence","ANY","Total","T","Number","NR",,
